Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.05,"[8, 3, 2]",0.7735 ± 0.0492,0.7377 ± 0.0561,0.759 ± 0.0638,0.7305 ± 0.0519
0.1,"[8, 1, 2]",0.7695 ± 0.046,0.7355 ± 0.0469,0.7497 ± 0.0559,0.7293 ± 0.0431
0.15,"[8, 2, 1, 2]",0.7669 ± 0.0589,0.7344 ± 0.0648,0.7457 ± 0.0568,0.7343 ± 0.0637
0.05,"[8, 1, 2]",0.7644 ± 0.0454,0.7344 ± 0.0431,0.7448 ± 0.0509,0.7314 ± 0.0412
0.15,"[8, 2, 3, 2]",0.7669 ± 0.0511,0.7341 ± 0.0594,0.7496 ± 0.0596,0.7348 ± 0.0614
0.15,"[8, 3, 2]",0.7694 ± 0.0469,0.7324 ± 0.0512,0.7512 ± 0.0596,0.7258 ± 0.0496
0.1,"[8, 3, 2, 2]",0.763 ± 0.0574,0.7323 ± 0.0651,0.7404 ± 0.0698,0.7316 ± 0.0636
0.15,"[8, 2, 2]",0.7655 ± 0.0537,0.7313 ± 0.0593,0.7438 ± 0.0646,0.7253 ± 0.0551
0.1,"[8, 1, 3, 2]",0.7604 ± 0.055,0.7311 ± 0.06,0.7383 ± 0.0536,0.7341 ± 0.0584
0.05,"[8, 1, 3, 2]",0.7644 ± 0.0473,0.731 ± 0.0538,0.7435 ± 0.0613,0.7303 ± 0.0463
0.05,"[8, 3, 3, 2]",0.7616 ± 0.0412,0.7307 ± 0.0487,0.7381 ± 0.0475,0.7295 ± 0.0499
0.1,"[8, 2, 2]",0.7669 ± 0.0669,0.7295 ± 0.0622,0.7473 ± 0.0631,0.7248 ± 0.0611
0.15,"[8, 3, 3, 2]",0.763 ± 0.0495,0.7294 ± 0.0576,0.7446 ± 0.0595,0.7265 ± 0.0592
0.15,"[8, 1, 2]",0.7617 ± 0.0515,0.7286 ± 0.0631,0.7385 ± 0.0652,0.7286 ± 0.0618
0.05,"[8, 2, 2]",0.7681 ± 0.0262,0.7279 ± 0.0412,0.7485 ± 0.0444,0.7235 ± 0.0439
0.05,"[8, 2, 2, 2]",0.7657 ± 0.0638,0.7276 ± 0.0683,0.7453 ± 0.0613,0.7255 ± 0.0667
0.05,"[8, 2, 3, 2]",0.7643 ± 0.0324,0.7266 ± 0.0403,0.7415 ± 0.0464,0.7213 ± 0.0404
0.15,"[8, 3, 2, 2]",0.7631 ± 0.0367,0.7264 ± 0.0383,0.7466 ± 0.0442,0.7239 ± 0.0339
0.1,"[8, 2, 3, 2]",0.7592 ± 0.048,0.726 ± 0.0556,0.739 ± 0.0608,0.7241 ± 0.0548
0.1,"[8, 3, 3, 2]",0.7591 ± 0.0296,0.7241 ± 0.0461,0.7394 ± 0.0477,0.7256 ± 0.0545
0.1,"[8, 3, 2]",0.759 ± 0.0452,0.72 ± 0.0359,0.739 ± 0.0347,0.7177 ± 0.0333
0.1,"[8, 2, 2, 2]",0.7565 ± 0.0437,0.7184 ± 0.0543,0.7408 ± 0.0591,0.7152 ± 0.0517
0.15,"[8, 2, 2, 2]",0.7577 ± 0.0384,0.7169 ± 0.0481,0.7391 ± 0.0516,0.7123 ± 0.0451
0.1,"[8, 2, 1, 2]",0.7538 ± 0.0519,0.711 ± 0.0695,0.7347 ± 0.0569,0.7134 ± 0.0616
0.05,"[8, 3, 2, 2]",0.7565 ± 0.0651,0.7002 ± 0.1228,0.71 ± 0.1537,0.7077 ± 0.084
0.05,"[8, 2, 1, 2]",0.7461 ± 0.0457,0.6901 ± 0.1093,0.6907 ± 0.1301,0.6959 ± 0.0848
0.1,"[8, 1, 2, 2]",0.7396 ± 0.0645,0.6536 ± 0.145,0.6683 ± 0.1907,0.6701 ± 0.1043
0.05,"[8, 3, 1, 2]",0.7174 ± 0.0892,0.638 ± 0.1516,0.639 ± 0.1947,0.6625 ± 0.0939
0.05,"[8, 1, 2, 2]",0.7188 ± 0.0921,0.6374 ± 0.154,0.6489 ± 0.2032,0.6617 ± 0.1036
0.05,"[8, 1, 1, 2]",0.7098 ± 0.1045,0.6063 ± 0.1731,0.608 ± 0.2279,0.6434 ± 0.1085
0.15,"[8, 1, 1, 2]",0.7046 ± 0.0835,0.5792 ± 0.1775,0.57 ± 0.2281,0.6276 ± 0.1215
0.15,"[8, 1, 3, 2]",0.6956 ± 0.1053,0.5499 ± 0.1879,0.5328 ± 0.2483,0.6065 ± 0.1171
0.1,"[8, 1, 1, 2]",0.6937 ± 0.0985,0.5481 ± 0.1782,0.5187 ± 0.2244,0.6116 ± 0.1207
0.15,"[8, 1, 2, 2]",0.7018 ± 0.0715,0.5364 ± 0.1618,0.5584 ± 0.2473,0.5917 ± 0.1068
0.15,"[8, 3, 1, 2]",0.6861 ± 0.0827,0.5152 ± 0.157,0.5263 ± 0.2271,0.5756 ± 0.1012
0.1,"[8, 3, 1, 2]",0.6639 ± 0.0937,0.4577 ± 0.1233,0.4674 ± 0.2206,0.5367 ± 0.0626
