Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.1,"[34, 2, 3, 2]",0.8822 ± 0.07,0.8646 ± 0.0807,0.8852 ± 0.072,0.8591 ± 0.0846
0.1,"[34, 1, 3, 2]",0.8799 ± 0.0778,0.8639 ± 0.0841,0.8959 ± 0.0797,0.856 ± 0.0801
0.15,"[34, 1, 1, 2]",0.8837 ± 0.0511,0.8618 ± 0.0677,0.9039 ± 0.0395,0.8497 ± 0.0719
0.15,"[34, 3, 2]",0.8777 ± 0.0679,0.8608 ± 0.0709,0.8799 ± 0.0622,0.854 ± 0.0707
0.1,"[34, 3, 3, 2]",0.8807 ± 0.0455,0.8602 ± 0.0574,0.8886 ± 0.0333,0.8532 ± 0.0625
0.15,"[34, 2, 2]",0.8803 ± 0.0679,0.8584 ± 0.084,0.8953 ± 0.0562,0.8485 ± 0.0898
0.15,"[34, 1, 3, 2]",0.8784 ± 0.0545,0.8571 ± 0.064,0.8974 ± 0.0537,0.8428 ± 0.0688
0.05,"[34, 1, 3, 2]",0.8771 ± 0.0412,0.8555 ± 0.0513,0.8958 ± 0.0434,0.8416 ± 0.0539
0.15,"[34, 3, 1, 2]",0.8746 ± 0.068,0.8533 ± 0.0811,0.8935 ± 0.0598,0.8432 ± 0.0846
0.1,"[34, 2, 2, 2]",0.8719 ± 0.0618,0.8528 ± 0.0668,0.8859 ± 0.0645,0.841 ± 0.0672
0.1,"[34, 3, 2]",0.8715 ± 0.0438,0.8518 ± 0.0479,0.8776 ± 0.0441,0.842 ± 0.0475
0.15,"[34, 2, 2, 2]",0.8707 ± 0.0658,0.8512 ± 0.0711,0.883 ± 0.0694,0.8401 ± 0.0742
0.05,"[34, 1, 2, 2]",0.8717 ± 0.0388,0.8504 ± 0.0486,0.8735 ± 0.0349,0.8434 ± 0.0572
0.05,"[34, 1, 2]",0.8718 ± 0.0708,0.8496 ± 0.075,0.8865 ± 0.0785,0.8347 ± 0.0732
0.1,"[34, 2, 2]",0.8747 ± 0.0489,0.8494 ± 0.0549,0.8943 ± 0.0524,0.8373 ± 0.0571
0.15,"[34, 2, 3, 2]",0.8657 ± 0.0683,0.8475 ± 0.0778,0.8743 ± 0.0743,0.8392 ± 0.0789
0.05,"[34, 1, 1, 2]",0.8682 ± 0.0529,0.8469 ± 0.056,0.8817 ± 0.0432,0.8346 ± 0.0565
0.05,"[34, 2, 2]",0.8655 ± 0.0694,0.8461 ± 0.0731,0.8785 ± 0.0632,0.8402 ± 0.0749
0.1,"[34, 2, 1, 2]",0.8661 ± 0.0537,0.8457 ± 0.0572,0.8685 ± 0.0509,0.8359 ± 0.0589
0.1,"[34, 3, 1, 2]",0.8623 ± 0.0541,0.8432 ± 0.0535,0.8754 ± 0.0611,0.8333 ± 0.0456
0.05,"[34, 3, 3, 2]",0.8611 ± 0.0579,0.842 ± 0.0613,0.869 ± 0.0657,0.8361 ± 0.0573
0.15,"[34, 1, 2]",0.8634 ± 0.044,0.8408 ± 0.0502,0.8753 ± 0.0409,0.8321 ± 0.0511
0.1,"[34, 1, 2]",0.8628 ± 0.0606,0.8403 ± 0.0667,0.869 ± 0.056,0.835 ± 0.0648
0.05,"[34, 2, 2, 2]",0.8601 ± 0.0702,0.8391 ± 0.0833,0.8656 ± 0.0884,0.8295 ± 0.0815
0.05,"[34, 3, 1, 2]",0.8607 ± 0.0354,0.8391 ± 0.0404,0.8642 ± 0.035,0.8296 ± 0.0456
0.1,"[34, 1, 2, 2]",0.8673 ± 0.0788,0.8378 ± 0.0931,0.8785 ± 0.0616,0.835 ± 0.0926
0.15,"[34, 3, 2, 2]",0.8632 ± 0.0735,0.8375 ± 0.0919,0.8661 ± 0.0831,0.8324 ± 0.0986
0.05,"[34, 3, 2]",0.8575 ± 0.0573,0.8356 ± 0.0664,0.8624 ± 0.0621,0.8251 ± 0.0676
0.05,"[34, 2, 3, 2]",0.8573 ± 0.0505,0.835 ± 0.0529,0.8656 ± 0.0506,0.8246 ± 0.055
0.05,"[34, 2, 1, 2]",0.866 ± 0.0486,0.8336 ± 0.0794,0.8773 ± 0.0554,0.8195 ± 0.0863
0.1,"[34, 3, 2, 2]",0.854 ± 0.065,0.8304 ± 0.0713,0.8689 ± 0.0714,0.8176 ± 0.072
0.15,"[34, 3, 3, 2]",0.8634 ± 0.0613,0.8303 ± 0.082,0.8816 ± 0.0455,0.8235 ± 0.0896
0.05,"[34, 3, 2, 2]",0.8496 ± 0.0552,0.8257 ± 0.0619,0.8559 ± 0.0559,0.8142 ± 0.0637
0.15,"[34, 2, 1, 2]",0.8488 ± 0.0553,0.8247 ± 0.065,0.855 ± 0.0679,0.8116 ± 0.0631
0.1,"[34, 1, 1, 2]",0.8226 ± 0.0873,0.7762 ± 0.1458,0.8113 ± 0.1858,0.7737 ± 0.1006
0.15,"[34, 1, 2, 2]",0.6464 ± 0.1114,0.4051 ± 0.0717,0.3725 ± 0.1818,0.5091 ± 0.0287
