Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.05,"[8, 2, 1, 2]",0.7747 ± 0.043,0.7439 ± 0.0493,0.7546 ± 0.0542,0.7394 ± 0.0479
0.15,"[8, 3, 3, 2]",0.7707 ± 0.0637,0.7406 ± 0.0707,0.7472 ± 0.0726,0.7418 ± 0.0737
0.15,"[8, 2, 1, 2]",0.7736 ± 0.0571,0.7403 ± 0.0643,0.7548 ± 0.0624,0.7378 ± 0.0611
0.15,"[8, 2, 2, 2]",0.7735 ± 0.0479,0.739 ± 0.0517,0.7528 ± 0.0482,0.7324 ± 0.0524
0.1,"[8, 3, 2]",0.7746 ± 0.0573,0.7378 ± 0.0699,0.7535 ± 0.0764,0.7349 ± 0.068
0.05,"[8, 1, 1, 2]",0.7681 ± 0.0411,0.7375 ± 0.0442,0.7473 ± 0.0519,0.7343 ± 0.0424
0.05,"[8, 1, 2, 2]",0.7669 ± 0.0557,0.7364 ± 0.0512,0.7489 ± 0.0568,0.7341 ± 0.0519
0.05,"[8, 2, 2]",0.772 ± 0.0496,0.7359 ± 0.0609,0.7533 ± 0.0586,0.7329 ± 0.0639
0.1,"[8, 1, 2]",0.7656 ± 0.065,0.7347 ± 0.0603,0.7499 ± 0.0714,0.731 ± 0.0576
0.1,"[8, 1, 1, 2]",0.7642 ± 0.051,0.7347 ± 0.0476,0.7451 ± 0.0564,0.7303 ± 0.0434
0.1,"[8, 2, 2]",0.7721 ± 0.0513,0.7346 ± 0.0487,0.7536 ± 0.052,0.7303 ± 0.0473
0.05,"[8, 1, 3, 2]",0.7683 ± 0.0409,0.7345 ± 0.0497,0.7488 ± 0.0413,0.7307 ± 0.0537
0.1,"[8, 2, 2, 2]",0.7709 ± 0.0438,0.734 ± 0.0513,0.7521 ± 0.0402,0.7294 ± 0.0531
0.05,"[8, 1, 2]",0.7655 ± 0.0637,0.7336 ± 0.0772,0.7445 ± 0.0765,0.7322 ± 0.076
0.1,"[8, 3, 1, 2]",0.7722 ± 0.0563,0.7327 ± 0.0678,0.7501 ± 0.066,0.727 ± 0.0667
0.05,"[8, 2, 2, 2]",0.7656 ± 0.0714,0.7317 ± 0.0773,0.7447 ± 0.073,0.73 ± 0.0776
0.15,"[8, 2, 2]",0.7734 ± 0.0502,0.7311 ± 0.0693,0.7485 ± 0.0714,0.7251 ± 0.0686
0.1,"[8, 1, 2, 2]",0.7654 ± 0.0629,0.7306 ± 0.0488,0.7478 ± 0.0664,0.7242 ± 0.0426
0.15,"[8, 3, 2]",0.7683 ± 0.0285,0.7296 ± 0.0369,0.7456 ± 0.0353,0.7224 ± 0.0384
0.1,"[8, 2, 1, 2]",0.7644 ± 0.0249,0.7295 ± 0.0234,0.7495 ± 0.0268,0.7273 ± 0.0378
0.05,"[8, 3, 1, 2]",0.7592 ± 0.0542,0.7289 ± 0.0546,0.7339 ± 0.0551,0.7261 ± 0.0545
0.1,"[8, 1, 3, 2]",0.763 ± 0.0251,0.7289 ± 0.0311,0.7372 ± 0.0259,0.7278 ± 0.0362
0.05,"[8, 3, 2, 2]",0.7593 ± 0.0781,0.7285 ± 0.0817,0.7403 ± 0.0849,0.7269 ± 0.0809
0.15,"[8, 1, 2]",0.7643 ± 0.0303,0.7283 ± 0.0406,0.7404 ± 0.0491,0.7288 ± 0.0431
0.05,"[8, 3, 3, 2]",0.7605 ± 0.0456,0.7282 ± 0.0474,0.7453 ± 0.0612,0.7257 ± 0.0426
0.15,"[8, 3, 2, 2]",0.7629 ± 0.0332,0.7278 ± 0.0377,0.742 ± 0.0428,0.7239 ± 0.0382
0.15,"[8, 1, 2, 2]",0.7604 ± 0.0448,0.727 ± 0.0535,0.7327 ± 0.0566,0.7251 ± 0.0532
0.15,"[8, 2, 3, 2]",0.7696 ± 0.0449,0.7268 ± 0.0545,0.7459 ± 0.0555,0.7206 ± 0.0557
0.15,"[8, 1, 3, 2]",0.7658 ± 0.0413,0.725 ± 0.0561,0.7423 ± 0.0505,0.7213 ± 0.0581
0.05,"[8, 2, 3, 2]",0.7604 ± 0.061,0.7235 ± 0.0715,0.7397 ± 0.0758,0.7223 ± 0.0668
0.1,"[8, 3, 2, 2]",0.7721 ± 0.0337,0.7235 ± 0.0602,0.7524 ± 0.0558,0.7187 ± 0.0637
0.15,"[8, 3, 1, 2]",0.7617 ± 0.0413,0.7217 ± 0.0513,0.7399 ± 0.0417,0.7175 ± 0.0515
0.1,"[8, 3, 3, 2]",0.7669 ± 0.0529,0.7204 ± 0.0731,0.7454 ± 0.0733,0.7147 ± 0.07
0.05,"[8, 3, 2]",0.7617 ± 0.0366,0.7194 ± 0.0446,0.7464 ± 0.0451,0.7144 ± 0.0467
0.1,"[8, 2, 3, 2]",0.7604 ± 0.0313,0.718 ± 0.042,0.7398 ± 0.0428,0.7102 ± 0.0414
0.15,"[8, 1, 1, 2]",0.6668 ± 0.058,0.428 ± 0.0986,0.3691 ± 0.1244,0.5201 ± 0.0636
