Reg. Factor,Network Struc.,Accuracy,F1-Measure,Recall,Precision
0.15,"[13, 3, 3]",0.9719 ± 0.0296,0.9713 ± 0.0304,0.9739 ± 0.0295,0.9738 ± 0.0312
0.05,"[13, 2, 3]",0.9667 ± 0.0537,0.9693 ± 0.0447,0.9772 ± 0.0322,0.9688 ± 0.045
0.05,"[13, 3, 3]",0.9666 ± 0.0389,0.9648 ± 0.0408,0.9653 ± 0.0389,0.9721 ± 0.0363
0.1,"[13, 3, 3]",0.9722 ± 0.0472,0.9432 ± 0.1254,0.9486 ± 0.1141,0.9435 ± 0.1314
0.15,"[13, 2, 3]",0.7679 ± 0.1867,0.6865 ± 0.2424,0.652 ± 0.2728,0.7479 ± 0.1966
0.1,"[13, 2, 3]",0.7178 ± 0.1204,0.5856 ± 0.104,0.547 ± 0.1482,0.6638 ± 0.0697
0.15,"[13, 1, 3]",0.7068 ± 0.1163,0.5504 ± 0.0582,0.4979 ± 0.0785,0.6468 ± 0.0348
0.1,"[13, 1, 3]",0.6976 ± 0.0869,0.5432 ± 0.0392,0.4863 ± 0.0609,0.6394 ± 0.0357
0.05,"[13, 1, 3]",0.6949 ± 0.0646,0.5415 ± 0.0511,0.4857 ± 0.0571,0.6327 ± 0.0412
0.05,"[13, 3, 3, 3]",0.6956 ± 0.0787,0.5361 ± 0.0415,0.4744 ± 0.06,0.6407 ± 0.0289
0.1,"[13, 3, 3, 3]",0.6902 ± 0.0837,0.5299 ± 0.0311,0.4653 ± 0.0434,0.641 ± 0.0295
0.15,"[13, 2, 3, 3]",0.6761 ± 0.124,0.5246 ± 0.0736,0.4654 ± 0.0905,0.616 ± 0.0462
0.05,"[13, 1, 2, 3]",0.6744 ± 0.0753,0.521 ± 0.0423,0.4588 ± 0.0474,0.6219 ± 0.0555
0.15,"[13, 2, 1, 3]",0.6722 ± 0.1163,0.519 ± 0.0667,0.4604 ± 0.0771,0.6101 ± 0.0508
0.05,"[13, 3, 2, 3]",0.6746 ± 0.0827,0.5179 ± 0.0449,0.4498 ± 0.0556,0.6215 ± 0.0353
0.15,"[13, 3, 3, 3]",0.6582 ± 0.1033,0.5086 ± 0.0595,0.4481 ± 0.0678,0.6107 ± 0.056
0.1,"[13, 3, 2, 3]",0.6571 ± 0.1191,0.5053 ± 0.0646,0.4423 ± 0.0741,0.6104 ± 0.0379
0.15,"[13, 2, 2, 3]",0.6443 ± 0.0982,0.501 ± 0.0704,0.4461 ± 0.0804,0.5976 ± 0.0604
0.15,"[13, 3, 2, 3]",0.6563 ± 0.0992,0.4991 ± 0.0625,0.4349 ± 0.0729,0.6096 ± 0.0443
0.1,"[13, 2, 2, 3]",0.6345 ± 0.1085,0.498 ± 0.0535,0.442 ± 0.0571,0.5848 ± 0.0396
0.05,"[13, 2, 2, 3]",0.6316 ± 0.1216,0.4927 ± 0.0615,0.436 ± 0.0695,0.5887 ± 0.0534
0.1,"[13, 2, 3, 3]",0.6377 ± 0.1307,0.4898 ± 0.0689,0.432 ± 0.0877,0.5902 ± 0.0538
0.05,"[13, 2, 3, 3]",0.6341 ± 0.0964,0.4889 ± 0.0735,0.4353 ± 0.0731,0.5823 ± 0.0745
0.05,"[13, 2, 1, 3]",0.6226 ± 0.1224,0.4854 ± 0.073,0.427 ± 0.076,0.5893 ± 0.0585
0.1,"[13, 1, 3, 3]",0.6169 ± 0.1295,0.4812 ± 0.0812,0.4247 ± 0.0852,0.5761 ± 0.0471
0.05,"[13, 3, 1, 3]",0.6017 ± 0.1386,0.4656 ± 0.0926,0.4196 ± 0.0937,0.5762 ± 0.0543
0.15,"[13, 3, 1, 3]",0.5782 ± 0.1585,0.4455 ± 0.1287,0.3943 ± 0.1312,0.5548 ± 0.0884
0.05,"[13, 1, 3, 3]",0.561 ± 0.1457,0.4391 ± 0.1258,0.3825 ± 0.1265,0.5502 ± 0.0942
0.1,"[13, 3, 1, 3]",0.5044 ± 0.1834,0.3848 ± 0.1603,0.3455 ± 0.1644,0.5209 ± 0.1143
0.05,"[13, 1, 1, 3]",0.5135 ± 0.2584,0.377 ± 0.2129,0.3429 ± 0.2089,0.4939 ± 0.1452
0.1,"[13, 2, 1, 3]",0.4754 ± 0.1638,0.3425 ± 0.1671,0.2913 ± 0.1741,0.4624 ± 0.1234
0.1,"[13, 1, 1, 3]",0.4197 ± 0.1485,0.2215 ± 0.1265,0.1649 ± 0.1217,0.3667 ± 0.1054
0.15,"[13, 1, 2, 3]",0.3998 ± 0.1431,0.1985 ± 0.0762,0.1503 ± 0.087,0.3411 ± 0.0246
0.1,"[13, 1, 2, 3]",0.398 ± 0.1072,0.195 ± 0.0514,0.1435 ± 0.0589,0.3356 ± 0.007
0.15,"[13, 1, 3, 3]",0.3999 ± 0.1097,0.1876 ± 0.041,0.1333 ± 0.0366,0.3333 ± 0.0
0.15,"[13, 1, 1, 3]",0.3977 ± 0.1127,0.1868 ± 0.0403,0.1326 ± 0.0376,0.3333 ± 0.0
